scientific name,English name,number of people seeing species
Nesoenas mayeri,Pink Pigeon,0
Streptopelia turtur,European Turtle-Dove,13
Streptopelia lugens,Dusky Turtle-Dove,6
Streptopelia hypopyrrha,Adamawa Turtle-Dove,1
Streptopelia orientalis,Oriental Turtle-Dove,15
Streptopelia bitorquata,Island Collared-Dove,3
Streptopelia dusumieri,Philippine Collared-Dove,0
Streptopelia decaocto,Eurasian Collared-Dove,60
Streptopelia roseogrisea,African Collared-Dove,8
Streptopelia reichenowi,White-winged Collared-Dove,1
Streptopelia decipiens,Mourning Collared-Dove,9
Streptopelia semitorquata,Red-eyed Dove,15
